name,email,age,country,university,department,degree
 Stuart  Wang,StuartWang8846@gmail.com,28, UK,University of  Pennsylvania, Maths,BR
John  Chan,JohnChan7244@gmail.com,24, Italy,University of California - Santa Barbara,CSE, PhD
 Monica  Smith,MonicaSmith7460@gmail.com,21, Australia,University of  Wisconsin - Madison, ECE,BR
 Sri  Watson,SriWatson2073@gmail.com,25, China,University of California - Los Angeles, Bioinformatics, MS
John  Wang,JohnWang1825@gmail.com,23,India,University of  California - San Diego, ECE, MS
John  Chan,JohnChan5532@gmail.com,24, China,University of  Wisconsin - Madison, Maths,BR
 Oliver  Chan,OliverChan6782@gmail.com,27, Germany,University of  California - San Diego, ECE, MS
 Monica  Lee,MonicaLee8345@gmail.com,26, Mexico,University of  Pennsylvania, Bioinformatics, PhD
 Rachel Shah,RachelShah1684@gmail.com,27, Japan,University of  California - Santa Cruz, CE,BR
 Sri  Singh,SriSingh5482@gmail.com,22, Australia,University of California - Los Angeles, Data Science, PhD
 Joe  Chen,JoeChen7470@gmail.com,23, Italy,University of California - Santa Barbara, Maths, MS
 Stuart  Lee,StuartLee5589@gmail.com,24, USA,University of  Pennsylvania, CE,BR
 Oliver  Greene,OliverGreene4922@gmail.com,25, France,University of Michigan, ECE, PhD
 Monica  Watson,MonicaWatson1742@gmail.com,26, Mexico,University of  Wisconsin - Madison, Bioinformatics, PhD
 Rachel  Smith,RachelSmith1256@gmail.com,27, USA,University of  Washington, CE, PhD
 Oliver Shah,OliverShah7475@gmail.com,28, Japan,University of  California - Santa Cruz,CSE, MS
 Monica  Chan,MonicaChan6895@gmail.com,23, Italy,University of  Texas - Austin, CE,BR
 Joe  Chen,JoeChen5506@gmail.com,23, Italy,University of  Wisconsin - Madison, CE,BR
 Melissa  Wang,MelissaWang7890@gmail.com,25,India,University of  Texas - Austin, Data Science, MS
 Binny Shah,BinnyShah3854@gmail.com,26, China,University of California - Santa Barbara, Bioinformatics,BR
 Melissa  Greene,MelissaGreene1023@gmail.com,25, Spain,University of California - Santa Barbara, Maths,BR
John  Chan,JohnChan7753@gmail.com,28,India,University of  Wisconsin - Madison, Data Science, MS
 Rachel  Chan,RachelChan3329@gmail.com,25, China,University of  Washington,CSE, MS
 Melissa  Greene,MelissaGreene6654@gmail.com,23, China,University of  Texas - Austin, ECE,BR
John Shah,JohnShah830@gmail.com,21, Japan,University of  California - San Diego, Data Science, MS
 Melissa  Singh,MelissaSingh4522@gmail.com,23, China,University of  Texas - Austin, ECE, PhD
 Rachel  Lee,RachelLee7013@gmail.com,27, Germany,University of California - Los Angeles, Maths,BR
John  Watson,JohnWatson2887@gmail.com,26, Mexico,University of California - Santa Barbara, Bioinformatics,BR
 Monica  Singh,MonicaSingh5772@gmail.com,20, Australia,University of  Texas - Austin, Data Science,BR
 Sri  Chen,SriChen9897@gmail.com,26,India,University of  California - San Diego, Bioinformatics, MS
 Rachel  Smith,RachelSmith3539@gmail.com,20, UK,University of  Texas - Austin, Bioinformatics, MS
 Joe Shah,JoeShah4336@gmail.com,23, UK,University of  Wisconsin - Madison, Maths,BR
 Oliver  Wang,OliverWang6557@gmail.com,23,India,University of  Wisconsin - Madison, Bioinformatics,BR
 Stuart  Chan,StuartChan4998@gmail.com,27, Mexico,University of Michigan, Maths,BR
 Rachel  Chan,RachelChan203@gmail.com,23, Germany,University of  Wisconsin - Madison,CSE, PhD
John  Chen,JohnChen106@gmail.com,22, UK,University of  California - Santa Cruz, ECE, PhD
 Melissa  Lee,MelissaLee1733@gmail.com,28, Spain,University of  Texas - Austin,CSE, MS
John  Smith,JohnSmith5377@gmail.com,27,India,University of California - Los Angeles, ECE, MS
 Rachel  Chan,RachelChan401@gmail.com,26, Mexico,University of  Texas - Austin, Data Science,BR
John Shah,JohnShah4336@gmail.com,20, Greece,University of  Wisconsin - Madison,CSE, MS
 Stuart Shah,StuartShah4376@gmail.com,23, UK,University of  Texas - Austin, ECE, MS
 Rachel  Smith,RachelSmith8071@gmail.com,28, Spain,University of Michigan, ECE,BR
John  Smith,JohnSmith5687@gmail.com,21, Greece,University of  California - Santa Cruz, ECE, PhD
 Sri  Lee,SriLee9253@gmail.com,27, Italy,University of California - Santa Barbara, Maths,BR
 Sri  Smith,SriSmith6751@gmail.com,21, Germany,University of  Washington, CE, MS
 Binny  Lee,BinnyLee5041@gmail.com,23, Germany,University of  California - Santa Cruz, ECE,BR
John  Wang,JohnWang4830@gmail.com,20, France,University of California - Santa Barbara, Data Science, PhD
 Sri  Greene,SriGreene7081@gmail.com,28, Japan,University of  Pennsylvania, CE, MS
John  Greene,JohnGreene6017@gmail.com,23, USA,University of California - Santa Barbara, CE,BR
 Sri  Chan,SriChan7458@gmail.com,21, Japan,University of  California - Santa Cruz, Bioinformatics,BR
 Sri  Chen,SriChen617@gmail.com,26, Mexico,University of  California - Santa Cruz, Data Science, MS
 Melissa  Wang,MelissaWang3257@gmail.com,21, Australia,University of  Wisconsin - Madison, Maths,BR
 Stuart  Watson,StuartWatson4418@gmail.com,23, Japan,University of  Wisconsin - Madison, ECE, MS
 Melissa Shah,MelissaShah2490@gmail.com,27, Spain,University of  Washington, Data Science,BR
 Binny  Watson,BinnyWatson2784@gmail.com,22, USA,University of  Wisconsin - Madison, Data Science,BR
 Binny  Watson,BinnyWatson5348@gmail.com,20, Italy,University of  Pennsylvania, ECE,BR
 Binny  Smith,BinnySmith9550@gmail.com,21,India,University of  California - San Diego, ECE,BR
 Melissa  Wang,MelissaWang9662@gmail.com,28, France,University of California - Santa Barbara, CE,BR
 Binny  Singh,BinnySingh8203@gmail.com,22, Japan,University of  Pennsylvania, Bioinformatics, PhD
 Stuart  Chan,StuartChan2248@gmail.com,27, Italy,University of California - Santa Barbara, Data Science,BR
 Binny  Greene,BinnyGreene8837@gmail.com,28, Japan,University of  California - San Diego, Maths, MS
 Melissa  Watson,MelissaWatson4644@gmail.com,22,India,University of California - Los Angeles, Bioinformatics,BR
John Shah,JohnShah6129@gmail.com,25, Italy,University of California - Santa Barbara,CSE, MS
John  Chen,JohnChen203@gmail.com,26, France,University of Michigan, Maths, PhD
 Joe  Smith,JoeSmith2522@gmail.com,21, Spain,University of  California - Santa Cruz, CE,BR
 Rachel  Smith,RachelSmith1030@gmail.com,28, Japan,University of Michigan, Data Science, MS
John  Singh,JohnSingh9638@gmail.com,28, UK,University of  California - Santa Cruz, Data Science,BR
 Melissa Shah,MelissaShah1014@gmail.com,20, Japan,University of California - Santa Barbara,CSE, PhD
 Stuart  Chan,StuartChan9551@gmail.com,25, France,University of Michigan, CE,BR
 Rachel  Chan,RachelChan2842@gmail.com,26, UK,University of  Washington, Bioinformatics, PhD
John  Wang,JohnWang8495@gmail.com,25, Mexico,University of California - Los Angeles, Data Science, MS
 Melissa  Chan,MelissaChan2498@gmail.com,20, UK,University of  California - Santa Cruz, CE, MS
 Joe  Chen,JoeChen4497@gmail.com,28, Australia,University of  Wisconsin - Madison, Data Science,BR
John  Chan,JohnChan7465@gmail.com,22,India,University of California - Los Angeles, Bioinformatics, MS
 Rachel  Smith,RachelSmith1455@gmail.com,22, Mexico,University of  California - Santa Cruz, Bioinformatics, MS
 Stuart Shah,StuartShah976@gmail.com,21, Australia,University of  Texas - Austin,CSE, PhD
 Melissa  Lee,MelissaLee4712@gmail.com,27, China,University of  Wisconsin - Madison,CSE, PhD
John  Chan,JohnChan6543@gmail.com,23, USA,University of  California - Santa Cruz, CE, PhD
 Oliver  Watson,OliverWatson1056@gmail.com,20,India,University of  Wisconsin - Madison,CSE, MS
 Sri  Wang,SriWang21@gmail.com,27, Mexico,University of  Washington, Bioinformatics, PhD
 Joe  Lee,JoeLee802@gmail.com,28, UK,University of Michigan, CE,BR
John  Wang,JohnWang3812@gmail.com,25, Germany,University of California - Santa Barbara, Bioinformatics, PhD
John  Watson,JohnWatson9081@gmail.com,23, UK,University of California - Santa Barbara, Data Science, MS
John Shah,JohnShah6527@gmail.com,25, China,University of  California - San Diego, Data Science, MS
 Monica  Wang,MonicaWang2998@gmail.com,21, UK,University of Michigan, Bioinformatics, MS
 Joe  Smith,JoeSmith8855@gmail.com,27, Mexico,University of  Texas - Austin, ECE, MS
 Sri  Chen,SriChen6708@gmail.com,21, France,University of California - Santa Barbara, CE, MS
 Monica Shah,MonicaShah1350@gmail.com,26, Italy,University of  California - Santa Cruz, CE, MS
 Oliver  Singh,OliverSingh9616@gmail.com,27, Spain,University of Michigan, Maths, PhD
 Melissa Shah,MelissaShah9059@gmail.com,23,India,University of  Texas - Austin, Bioinformatics, MS
 Sri  Watson,SriWatson4224@gmail.com,26, Spain,University of California - Santa Barbara,CSE,BR
 Stuart  Chan,StuartChan66@gmail.com,21, Australia,University of  Washington,CSE, MS
 Joe Shah,JoeShah2322@gmail.com,24, USA,University of California - Santa Barbara, Data Science, PhD
 Stuart  Chan,StuartChan3450@gmail.com,28,India,University of  Texas - Austin, Bioinformatics, MS
 Rachel  Chen,RachelChen1761@gmail.com,22, Japan,University of California - Santa Barbara,CSE,BR
 Melissa  Singh,MelissaSingh8257@gmail.com,22, Greece,University of  Washington, ECE, PhD
 Monica  Lee,MonicaLee1507@gmail.com,25, Australia,University of  Texas - Austin, Data Science, PhD
 Binny  Watson,BinnyWatson5796@gmail.com,20, UK,University of  California - Santa Cruz, Data Science,BR
 Rachel  Singh,RachelSingh2783@gmail.com,20, France,University of California - Los Angeles, Maths,BR
 Rachel  Watson,RachelWatson662@gmail.com,21, China,University of  California - Santa Cruz, Bioinformatics,BR
 Stuart Shah,StuartShah9502@gmail.com,20, Italy,University of  Pennsylvania, Bioinformatics, MS
 Monica  Chen,MonicaChen2201@gmail.com,24, France,University of California - Los Angeles,CSE,BR
 Binny  Lee,BinnyLee2650@gmail.com,24, Greece,University of  California - Santa Cruz, Bioinformatics, PhD
 Sri  Singh,SriSingh2536@gmail.com,20, USA,University of  Texas - Austin, Data Science, MS
 Melissa  Singh,MelissaSingh613@gmail.com,24, UK,University of  Wisconsin - Madison, Bioinformatics,BR
 Monica Shah,MonicaShah3036@gmail.com,23, Italy,University of California - Santa Barbara, Maths, PhD
 Oliver  Chen,OliverChen3495@gmail.com,27, China,University of  Texas - Austin,CSE, PhD
 Binny  Singh,BinnySingh6172@gmail.com,25,India,University of  Washington, CE,BR
 Stuart  Watson,StuartWatson5532@gmail.com,27, Australia,University of California - Los Angeles, CE, PhD
 Sri  Lee,SriLee5156@gmail.com,21, Greece,University of  Washington,CSE, MS
 Melissa  Chen,MelissaChen5031@gmail.com,27, Greece,University of  California - Santa Cruz, Bioinformatics,BR
 Monica  Greene,MonicaGreene902@gmail.com,24, Spain,University of  California - Santa Cruz, Maths, MS
 Sri  Chen,SriChen8072@gmail.com,28,India,University of  Wisconsin - Madison, Maths,BR
 Binny  Watson,BinnyWatson1593@gmail.com,28, France,University of  California - Santa Cruz, ECE,BR
 Binny  Singh,BinnySingh1652@gmail.com,22, Greece,University of  California - San Diego, CE, MS
 Binny  Smith,BinnySmith9695@gmail.com,20, Spain,University of California - Los Angeles, Bioinformatics, MS
 Joe  Chan,JoeChan7976@gmail.com,24, Australia,University of  Wisconsin - Madison, Data Science, PhD
 Rachel  Watson,RachelWatson2775@gmail.com,21, Australia,University of California - Santa Barbara, CE, MS
 Melissa  Smith,MelissaSmith6342@gmail.com,24, UK,University of California - Los Angeles, ECE,BR
 Rachel  Chan,RachelChan1461@gmail.com,22, USA,University of California - Los Angeles, ECE, PhD
 Joe  Smith,JoeSmith3370@gmail.com,21, Mexico,University of  Texas - Austin, Maths, MS
 Melissa  Chan,MelissaChan9599@gmail.com,27, Mexico,University of  Wisconsin - Madison, Bioinformatics, PhD
John  Chan,JohnChan4159@gmail.com,25,India,University of California - Santa Barbara,CSE, MS
 Melissa  Singh,MelissaSingh82@gmail.com,22, Mexico,University of  California - San Diego, Bioinformatics,BR
John Shah,JohnShah7831@gmail.com,21, China,University of  Pennsylvania, Bioinformatics, MS
 Joe Shah,JoeShah5613@gmail.com,27, Spain,University of  Texas - Austin,CSE,BR
 Monica  Wang,MonicaWang9082@gmail.com,27,India,University of  California - San Diego, CE,BR
 Oliver  Chan,OliverChan1955@gmail.com,25, Germany,University of  California - San Diego, Maths, PhD
 Monica  Chen,MonicaChen5099@gmail.com,26, Italy,University of  Texas - Austin, Data Science, MS
 Rachel  Singh,RachelSingh9153@gmail.com,27, USA,University of California - Los Angeles, Maths,BR
 Monica  Greene,MonicaGreene4934@gmail.com,27,India,University of California - Los Angeles,CSE,BR
 Melissa  Smith,MelissaSmith1811@gmail.com,28, USA,University of Michigan,CSE, MS
 Oliver Shah,OliverShah1152@gmail.com,20, China,University of  Wisconsin - Madison, ECE, MS
 Oliver  Lee,OliverLee3382@gmail.com,25, Italy,University of  Wisconsin - Madison, Data Science, PhD
 Monica  Smith,MonicaSmith8911@gmail.com,27,India,University of  Pennsylvania, Data Science, PhD
 Joe  Chen,JoeChen1577@gmail.com,22, Australia,University of California - Santa Barbara, ECE,BR
 Joe  Greene,JoeGreene8582@gmail.com,25,India,University of Michigan, Maths, PhD
 Monica Shah,MonicaShah593@gmail.com,21, Japan,University of  Washington, Bioinformatics, PhD
 Joe  Lee,JoeLee8805@gmail.com,26, USA,University of  Wisconsin - Madison,CSE, PhD
 Stuart  Greene,StuartGreene5779@gmail.com,27, China,University of  Wisconsin - Madison, CE, PhD
 Rachel  Singh,RachelSingh8462@gmail.com,26, Greece,University of  California - Santa Cruz, Bioinformatics, PhD
 Oliver  Singh,OliverSingh4495@gmail.com,22, China,University of  Pennsylvania, Maths,BR
 Sri  Watson,SriWatson5203@gmail.com,23, Australia,University of  Texas - Austin,CSE,BR
 Oliver  Lee,OliverLee9956@gmail.com,20,India,University of Michigan, Bioinformatics, MS
 Oliver Shah,OliverShah8509@gmail.com,26, Italy,University of  California - Santa Cruz, ECE,BR
 Oliver Shah,OliverShah9382@gmail.com,26, USA,University of California - Los Angeles, ECE, PhD
John  Smith,JohnSmith1597@gmail.com,24, Greece,University of  California - San Diego, CE, MS
 Oliver  Singh,OliverSingh4912@gmail.com,28, Germany,University of Michigan, Maths, PhD
 Oliver  Greene,OliverGreene1566@gmail.com,25, France,University of  California - San Diego, CE, MS
 Binny  Wang,BinnyWang8826@gmail.com,25, China,University of  California - San Diego, ECE,BR
 Stuart  Chen,StuartChen6574@gmail.com,20, France,University of  California - Santa Cruz, Bioinformatics, PhD
 Monica  Chan,MonicaChan854@gmail.com,26, Italy,University of  California - Santa Cruz,CSE,BR
 Rachel Shah,RachelShah8303@gmail.com,25, China,University of  Texas - Austin, Bioinformatics, PhD
 Sri  Watson,SriWatson3955@gmail.com,23, Australia,University of  California - Santa Cruz, Bioinformatics,BR
 Stuart  Wang,StuartWang4572@gmail.com,24, Spain,University of California - Santa Barbara,CSE, MS
 Joe  Lee,JoeLee5533@gmail.com,26, Japan,University of Michigan, Bioinformatics, MS
John  Lee,JohnLee9252@gmail.com,22, Greece,University of  Texas - Austin, Bioinformatics, MS
 Rachel  Singh,RachelSingh5928@gmail.com,26, USA,University of  Washington, Maths, PhD
 Oliver  Lee,OliverLee8598@gmail.com,26, Greece,University of  Pennsylvania, CE, MS
 Rachel  Smith,RachelSmith3179@gmail.com,21, Japan,University of California - Los Angeles, ECE, PhD
John  Smith,JohnSmith3646@gmail.com,21, China,University of California - Santa Barbara, CE, PhD
 Sri  Singh,SriSingh6997@gmail.com,28, Australia,University of  California - Santa Cruz, ECE,BR
 Joe  Singh,JoeSingh9523@gmail.com,25,India,University of  Pennsylvania, Bioinformatics,BR
John  Wang,JohnWang7432@gmail.com,21, UK,University of California - Santa Barbara, Data Science, MS
 Oliver  Chen,OliverChen5394@gmail.com,20, Italy,University of  Pennsylvania, Bioinformatics, PhD
 Oliver  Chen,OliverChen626@gmail.com,20, UK,University of  Pennsylvania, Data Science, MS
 Binny  Chan,BinnyChan1591@gmail.com,20, France,University of California - Santa Barbara, Bioinformatics, PhD
 Monica Shah,MonicaShah7749@gmail.com,23, Italy,University of  California - Santa Cruz, ECE,BR
 Joe Shah,JoeShah8452@gmail.com,20, Italy,University of  Pennsylvania, Bioinformatics, MS
 Monica  Smith,MonicaSmith4061@gmail.com,28,India,University of  Wisconsin - Madison, Data Science, MS
 Oliver  Wang,OliverWang8459@gmail.com,25, Japan,University of Michigan,CSE, MS
 Rachel  Chan,RachelChan2329@gmail.com,21, Italy,University of  Texas - Austin, Bioinformatics, PhD
 Rachel  Singh,RachelSingh1886@gmail.com,27, Greece,University of  Texas - Austin, Bioinformatics, PhD
 Joe  Lee,JoeLee597@gmail.com,26, Australia,University of  Washington, CE,BR
 Sri  Lee,SriLee9487@gmail.com,27, China,University of California - Santa Barbara, CE, PhD
 Oliver  Wang,OliverWang7328@gmail.com,27, Mexico,University of  California - Santa Cruz, Maths, PhD
 Binny  Watson,BinnyWatson964@gmail.com,26, Australia,University of California - Los Angeles, Bioinformatics, PhD
 Binny  Smith,BinnySmith3543@gmail.com,21, Mexico,University of  Washington, Maths, PhD
 Oliver  Greene,OliverGreene2650@gmail.com,22, Italy,University of  Pennsylvania, Data Science,BR
 Sri  Greene,SriGreene8686@gmail.com,22, UK,University of  Texas - Austin, Maths,BR
 Joe  Chen,JoeChen7495@gmail.com,21, UK,University of  Texas - Austin, Data Science, PhD
 Oliver  Greene,OliverGreene5358@gmail.com,22,India,University of  Washington, ECE,BR
 Joe  Chan,JoeChan1393@gmail.com,20, Spain,University of California - Los Angeles, Maths,BR
 Binny  Chen,BinnyChen9014@gmail.com,21, Japan,University of California - Santa Barbara, ECE, MS
 Binny  Chen,BinnyChen4885@gmail.com,25, Germany,University of  California - San Diego, Bioinformatics,BR
 Oliver  Chen,OliverChen9750@gmail.com,28, China,University of California - Los Angeles,CSE,BR
 Monica  Chan,MonicaChan7248@gmail.com,28, Japan,University of  California - Santa Cruz,CSE,BR
 Monica  Chen,MonicaChen9586@gmail.com,21, Australia,University of  California - Santa Cruz,CSE,BR
John  Lee,JohnLee7101@gmail.com,20, China,University of  Pennsylvania, Maths,BR
 Melissa  Greene,MelissaGreene6512@gmail.com,21, France,University of  Wisconsin - Madison, CE,BR
 Oliver  Singh,OliverSingh7343@gmail.com,27, Italy,University of  Washington,CSE, MS
 Monica  Smith,MonicaSmith1540@gmail.com,22, China,University of  Wisconsin - Madison, Bioinformatics,BR
John  Lee,JohnLee4857@gmail.com,22, Mexico,University of  Texas - Austin, Bioinformatics,BR
 Oliver  Lee,OliverLee7753@gmail.com,21, Greece,University of  Pennsylvania,CSE,BR
 Rachel  Greene,RachelGreene6324@gmail.com,22, Greece,University of California - Los Angeles, Maths,BR
 Oliver  Chen,OliverChen4356@gmail.com,27, UK,University of  Pennsylvania, ECE, PhD
John  Singh,JohnSingh1969@gmail.com,24,India,University of  California - San Diego, Maths,BR
 Joe  Lee,JoeLee4851@gmail.com,22, Australia,University of  California - Santa Cruz, CE, PhD
 Stuart  Greene,StuartGreene1279@gmail.com,20, Italy,University of California - Santa Barbara, Bioinformatics, PhD
 Rachel  Chen,RachelChen317@gmail.com,26, Italy,University of California - Los Angeles, ECE,BR
 Binny  Greene,BinnyGreene1931@gmail.com,23, Japan,University of  Washington, ECE, MS
 Rachel  Chen,RachelChen5479@gmail.com,27, Mexico,University of Michigan, Maths,BR
 Monica  Wang,MonicaWang4113@gmail.com,21, Italy,University of  Wisconsin - Madison, Bioinformatics, MS
 Binny  Chan,BinnyChan8249@gmail.com,21, Greece,University of  Wisconsin - Madison,CSE, PhD
 Stuart  Lee,StuartLee6455@gmail.com,25, Mexico,University of  Washington, Data Science,BR
 Melissa Shah,MelissaShah7228@gmail.com,26,India,University of California - Santa Barbara, Maths,BR
 Sri  Wang,SriWang180@gmail.com,26, Japan,University of California - Santa Barbara, CE, PhD
 Oliver  Watson,OliverWatson5359@gmail.com,25, Germany,University of  Texas - Austin, Data Science,BR
 Stuart  Watson,StuartWatson4316@gmail.com,23, China,University of California - Los Angeles,CSE,BR
 Joe  Watson,JoeWatson6471@gmail.com,26, Greece,University of  Washington, ECE, PhD
 Binny  Chan,BinnyChan3074@gmail.com,27,India,University of  Pennsylvania, Maths,BR
 Joe  Lee,JoeLee7535@gmail.com,23, Germany,University of  California - San Diego, ECE, PhD
 Joe  Singh,JoeSingh8358@gmail.com,27, Australia,University of  Wisconsin - Madison,CSE, PhD
 Sri  Chan,SriChan775@gmail.com,24, USA,University of Michigan, Maths, MS
 Oliver  Wang,OliverWang6568@gmail.com,25,India,University of California - Los Angeles, ECE,BR
 Binny  Lee,BinnyLee3089@gmail.com,22, Germany,University of  Texas - Austin, ECE,BR
 Monica  Singh,MonicaSingh3188@gmail.com,27, France,University of  Texas - Austin, Bioinformatics, PhD
 Rachel  Watson,RachelWatson9739@gmail.com,21, Greece,University of  Washington, Data Science, MS
 Stuart  Singh,StuartSingh1559@gmail.com,27, USA,University of California - Los Angeles, ECE,BR
 Joe  Chen,JoeChen9606@gmail.com,22, Italy,University of  Wisconsin - Madison, Maths,BR
 Melissa  Chan,MelissaChan2991@gmail.com,28, UK,University of  Texas - Austin,CSE,BR
 Binny  Wang,BinnyWang6760@gmail.com,27, UK,University of  California - San Diego, Bioinformatics,BR
John  Watson,JohnWatson1954@gmail.com,21, UK,University of  Texas - Austin, CE, MS
 Oliver  Wang,OliverWang877@gmail.com,28, USA,University of  California - San Diego, CE, PhD
 Monica  Wang,MonicaWang2901@gmail.com,26, UK,University of  Washington, Maths,BR
 Monica  Lee,MonicaLee61@gmail.com,26, Germany,University of California - Santa Barbara,CSE,BR
 Stuart  Smith,StuartSmith8365@gmail.com,25,India,University of  California - San Diego, CE, PhD
 Rachel  Chan,RachelChan2075@gmail.com,25, Italy,University of  Texas - Austin,CSE,BR
 Monica  Smith,MonicaSmith5904@gmail.com,20, China,University of California - Santa Barbara, Data Science, MS
 Sri  Smith,SriSmith1166@gmail.com,25, France,University of California - Santa Barbara, Data Science, PhD
 Melissa  Smith,MelissaSmith8037@gmail.com,21, Greece,University of  Pennsylvania, ECE, PhD
 Melissa  Wang,MelissaWang5671@gmail.com,24, Italy,University of  Wisconsin - Madison, Maths, MS
 Monica Shah,MonicaShah7665@gmail.com,25, France,University of  Wisconsin - Madison, Bioinformatics,BR
 Oliver Shah,OliverShah9849@gmail.com,25,India,University of California - Santa Barbara,CSE, MS
 Sri  Lee,SriLee6907@gmail.com,26, USA,University of  Washington, ECE,BR
 Melissa  Wang,MelissaWang3734@gmail.com,22, USA,University of  California - Santa Cruz, ECE, PhD
 Sri Shah,SriShah5090@gmail.com,26, Spain,University of  Wisconsin - Madison, CE, MS
 Sri  Smith,SriSmith5284@gmail.com,27, Australia,University of  Wisconsin - Madison,CSE, MS
 Oliver  Wang,OliverWang8744@gmail.com,23, China,University of Michigan, ECE, MS
John  Lee,JohnLee8098@gmail.com,25, China,University of Michigan, Maths, PhD
John Shah,JohnShah4712@gmail.com,20, USA,University of  Texas - Austin, Bioinformatics,BR
 Monica  Watson,MonicaWatson1790@gmail.com,22, Greece,University of  Wisconsin - Madison, ECE, PhD
 Binny  Greene,BinnyGreene9503@gmail.com,20, China,University of  Texas - Austin, Bioinformatics, PhD
John  Chen,JohnChen5073@gmail.com,22, China,University of California - Santa Barbara,CSE,BR
 Melissa  Chen,MelissaChen5996@gmail.com,21, UK,University of California - Santa Barbara, CE,BR
 Binny  Singh,BinnySingh7343@gmail.com,24, France,University of  Wisconsin - Madison,CSE, MS
 Binny  Singh,BinnySingh3563@gmail.com,28, Mexico,University of California - Santa Barbara,CSE, PhD
 Sri  Singh,SriSingh3254@gmail.com,26, Italy,University of California - Los Angeles, Bioinformatics, PhD
John  Watson,JohnWatson8091@gmail.com,23, Mexico,University of  California - San Diego, ECE, MS
 Oliver  Wang,OliverWang8076@gmail.com,28, Mexico,University of  California - Santa Cruz, Bioinformatics, PhD
John  Chen,JohnChen8080@gmail.com,23,India,University of  California - San Diego,CSE,BR
 Monica  Chen,MonicaChen3337@gmail.com,26, France,University of  Wisconsin - Madison, ECE, MS
 Stuart  Chen,StuartChen6236@gmail.com,27, Australia,University of  Washington, CE,BR
 Oliver  Watson,OliverWatson6631@gmail.com,20, Japan,University of  California - Santa Cruz, CE, MS
 Binny  Wang,BinnyWang7842@gmail.com,27, UK,University of  Wisconsin - Madison, CE, PhD
 Melissa  Watson,MelissaWatson9826@gmail.com,27, UK,University of  Wisconsin - Madison, ECE,BR
 Stuart  Singh,StuartSingh6718@gmail.com,28,India,University of Michigan,CSE, PhD
 Stuart  Lee,StuartLee3918@gmail.com,21, Greece,University of Michigan, Maths, MS
 Sri  Greene,SriGreene5613@gmail.com,28, UK,University of  Washington, Bioinformatics,BR
 Monica  Greene,MonicaGreene7935@gmail.com,27, Greece,University of Michigan, CE,BR
 Binny  Chan,BinnyChan7372@gmail.com,23, Germany,University of  California - Santa Cruz, Maths,BR
John  Chan,JohnChan4983@gmail.com,25, Mexico,University of  Texas - Austin, ECE, PhD
 Stuart  Chan,StuartChan740@gmail.com,27, UK,University of California - Santa Barbara, Data Science,BR
 Binny  Singh,BinnySingh9765@gmail.com,25, China,University of Michigan, Bioinformatics, MS
 Oliver  Wang,OliverWang4473@gmail.com,20, UK,University of  Texas - Austin, Maths,BR
 Binny  Chen,BinnyChen4584@gmail.com,25, Australia,University of  Pennsylvania, Maths, PhD
